ProductCode,ProductName,Category,Price,Stock
1001,ProductA,Electronics,,6
1002,ProductB,Toys,107.0,78
1003,ProductB,Toys,124.0,59
1004,ProductA,Furniture,302.0,18
1005,ProductA,Toys,313.0,22
1006,ProductC,Toys,316.0,76
1007,ProductE,Electronics,373.0,22
1008,ProductE,Electronics,332.0,19
1009,ProductE,Toys,354.0,20
1010,ProductA,Electronics,206.0,68
1011,ProductC,Toys,477.0,14
1012,ProductD,Clothing,295.0,27
1013,ProductE,Clothing,144.0,32
1014,ProductE,Clothing,335.0,5
1015,ProductE,Toys,414.0,88
1016,ProductE,Furniture,411.0,41
1017,ProductE,Clothing,67.0,87
1018,ProductD,Clothing,429.0,51
1019,ProductD,Toys,323.0,24
1020,ProductE,Toys,393.0,14
1021,ProductB,Electronics,409.0,34
1022,ProductE,Furniture,297.0,89
1023,ProductC,Furniture,443.0,76
1024,ProductE,Electronics,236.0,28
1025,ProductA,Toys,175.0,81
1026,ProductE,Furniture,451.0,22
1027,ProductE,Electronics,211.0,18
1028,ProductB,Furniture,142.0,11
1029,ProductD,Toys,179.0,49
1030,ProductE,Toys,258.0,82
1031,ProductA,Toys,461.0,75
1032,ProductA,Furniture,133.0,56
1033,ProductD,Furniture,347.0,81
1034,ProductB,Clothing,374.0,28
1035,ProductD,Toys,336.0,48
1036,ProductE,Electronics,455.0,52
1037,ProductE,Furniture,294.0,51
1038,ProductB,Toys,478.0,20
1039,ProductC,Toys,222.0,71
1040,ProductD,Clothing,187.0,99
1041,ProductB,Toys,161.0,18
1042,ProductA,Furniture,386.0,36
1043,ProductB,Furniture,130.0,75
1044,ProductA,Electronics,59.0,35
1045,ProductB,Toys,314.0,8
1046,ProductE,Toys,441.0,99
1047,ProductA,Clothing,358.0,23
1048,ProductD,Electronics,466.0,41
1049,ProductB,Furniture,199.0,93
1050,ProductD,Toys,101.0,35
1051,ProductA,Electronics,305.0,81
1052,ProductA,Toys,71.0,21
1053,ProductB,Furniture,484.0,98
1054,ProductC,Furniture,60.0,54
1055,ProductE,Furniture,64.0,76
1056,ProductC,Electronics,81.0,38
1057,ProductC,Electronics,415.0,43
1058,ProductE,Toys,385.0,44
1059,ProductB,Furniture,377.0,3
1060,ProductB,Clothing,431.0,71
1061,ProductC,Furniture,162.0,16
1062,ProductB,Electronics,457.0,56
1063,ProductE,Toys,499.0,93
1064,ProductE,Electronics,414.0,84
1065,ProductC,Furniture,261.0,10
1066,ProductE,Toys,105.0,5
1067,ProductC,Toys,417.0,23
1068,ProductE,Electronics,459.0,18
1069,ProductE,Furniture,299.0,86
1070,ProductE,Furniture,161.0,92
1071,ProductB,Clothing,51.0,36
1072,ProductC,Electronics,64.0,36
1073,ProductA,Furniture,481.0,27
1074,ProductA,Toys,388.0,54
1075,ProductC,Electronics,246.0,24
1076,ProductA,Furniture,447.0,6
1077,ProductD,Clothing,72.0,35
1078,ProductD,Electronics,339.0,84
1079,ProductB,Electronics,398.0,67
1080,ProductD,Electronics,199.0,8
1081,ProductC,Toys,52.0,73
1082,ProductD,Clothing,475.0,40
1083,ProductB,Clothing,392.0,20
1084,ProductB,Electronics,371.0,85
1085,ProductC,Furniture,119.0,88
1086,ProductD,Furniture,230.0,35
1087,ProductB,Furniture,150.0,82
1088,ProductB,Electronics,96.0,5
1089,ProductE,Electronics,304.0,69
1090,ProductA,Clothing,265.0,27
1091,ProductA,Clothing,360.0,3
1092,ProductE,Furniture,472.0,9
1093,ProductA,Toys,389.0,63
1094,ProductE,Furniture,240.0,44
1095,ProductE,Furniture,336.0,21
1096,ProductA,Clothing,354.0,13
1097,ProductB,Electronics,352.0,62
1098,ProductC,Toys,120.0,12
1099,ProductB,Clothing,444.0,43
1100,ProductA,Toys,450.0,76
1101,ProductC,Electronics,249.0,14
1102,ProductE,Toys,69.0,65
1103,ProductA,Toys,440.0,10
1104,ProductD,Toys,413.0,5
1105,ProductE,Clothing,470.0,17
1106,ProductC,Electronics,387.0,92
1107,ProductD,Clothing,345.0,23
1108,ProductC,Electronics,100.0,52
1109,ProductB,Toys,166.0,83
1110,ProductB,Toys,223.0,56
1111,ProductA,Furniture,205.0,61
1112,ProductC,Furniture,273.0,8
1113,ProductD,Clothing,164.0,40
1114,ProductD,Furniture,245.0,8
1115,ProductA,Electronics,180.0,66
1116,ProductA,Toys,198.0,58
1117,ProductD,Electronics,267.0,80
1118,ProductE,Furniture,194.0,51
1119,ProductC,Electronics,136.0,43
1120,ProductE,Electronics,142.0,1
1121,ProductE,Electronics,332.0,39
1122,ProductC,Toys,226.0,19
1123,ProductA,Furniture,193.0,2
1124,ProductC,Furniture,267.0,6
1125,ProductE,Electronics,221.0,5
1126,ProductA,Furniture,395.0,67
1127,ProductB,Electronics,251.0,27
1128,ProductD,Furniture,452.0,42
1129,ProductA,Toys,259.0,57
1130,ProductC,Clothing,273.0,64
1131,ProductB,Electronics,134.0,89
1132,ProductB,Furniture,274.0,30
1133,ProductA,Toys,286.0,82
1134,ProductB,Furniture,356.0,4
1135,ProductB,Clothing,416.0,22
1136,ProductB,Furniture,318.0,39
1137,ProductA,Toys,177.0,58
1138,ProductC,Furniture,278.0,63
1139,ProductD,Electronics,416.0,34
1140,ProductE,Clothing,443.0,68
1141,ProductE,Electronics,379.0,58
1142,ProductB,Furniture,374.0,96
1143,ProductB,Furniture,394.0,6
1144,ProductB,Electronics,422.0,76
1145,ProductC,Toys,156.0,5
1146,ProductD,Toys,90.0,28
1147,ProductB,Electronics,65.0,85
1148,ProductD,Toys,141.0,60
1149,ProductA,Electronics,361.0,49
1150,ProductA,Clothing,446.0,14
1151,ProductB,Furniture,445.0,14
1152,ProductE,Furniture,398.0,19
1153,ProductE,Furniture,75.0,44
1154,ProductD,Toys,65.0,11
1155,ProductD,Electronics,466.0,69
1156,ProductB,Furniture,135.0,77
1157,ProductE,Electronics,212.0,65
1158,ProductD,Clothing,247.0,94
1159,ProductC,Toys,50.0,6
1160,ProductB,Toys,116.0,20
1161,ProductA,Clothing,461.0,98
1162,ProductE,Clothing,405.0,29
1163,ProductC,Clothing,277.0,60
1164,ProductB,Toys,409.0,98
1165,ProductD,Clothing,222.0,77
1166,ProductB,Clothing,456.0,92
1167,ProductA,Toys,219.0,34
1168,ProductD,Furniture,156.0,66
1169,ProductD,Electronics,238.0,71
1170,ProductD,Clothing,499.0,54
1171,ProductA,Electronics,107.0,46
1172,ProductB,Toys,186.0,76
1173,ProductD,Electronics,481.0,51
1174,ProductC,Furniture,393.0,39
1175,ProductA,Clothing,107.0,46
1176,ProductB,Furniture,235.0,58
1177,ProductB,Electronics,117.0,45
1178,ProductC,Toys,390.0,36
1179,ProductC,Clothing,153.0,34
