SaleID,ProductName,SaleAmount,Region,SaleDate
1,Laptop,4570,,2022-11-11
2,Phone,2529,East,2021-02-12
3,Monitor,4949,South,2021-10-03
4,Headphones,4741,West,2021-07-09
5,Tablet,4677,South,2022-12-23
6,Tablet,1360,East,2021-01-07
7,Headphones,4144,South,2022-03-13
8,Monitor,2624,East,2022-11-22
9,Tablet,2208,North,2021-01-03
10,Phone,4045,West,2020-01-04
11,Monitor,1795,West,2020-09-23
12,Phone,4313,North,2022-12-02
13,Tablet,4022,West,2020-10-19
14,Phone,4733,West,2022-12-24
15,Tablet,2565,West,2021-01-21
16,Tablet,1406,North,2021-01-28
17,Laptop,1616,West,2022-11-20
18,Monitor,1234,West,2021-04-28
19,Phone,1020,North,2022-06-23
20,Laptop,1644,North,2020-02-24
21,Laptop,1685,West,2021-01-28
22,Headphones,4941,East,2022-08-19
23,Headphones,4460,East,2020-10-13
24,Laptop,2169,East,2022-04-04
25,Headphones,1161,South,2020-03-20
26,Laptop,1784,West,2022-10-04
27,Laptop,4667,East,2021-12-27
28,Tablet,3061,West,2021-05-27
29,Phone,3167,South,2021-07-08
30,Phone,1755,East,2020-08-27
31,Phone,578,West,2022-08-06
32,Monitor,1920,West,2021-01-24
33,Laptop,4107,West,2020-04-05
34,Headphones,651,North,2022-04-09
35,Laptop,3591,North,2022-03-30
36,Phone,4009,South,2022-12-14
37,Monitor,1136,West,2022-03-08
38,Laptop,3352,South,2022-03-04
39,Tablet,4150,South,2020-01-22
40,Monitor,982,East,2022-01-31
41,Tablet,1529,North,2021-08-05
42,Monitor,1393,West,2022-01-10
43,Phone,3728,East,2022-05-17
44,Monitor,2836,West,2022-12-09
45,Monitor,4885,West,2020-11-04
46,Tablet,3453,South,2020-03-11
47,Monitor,4575,West,2022-09-03
48,Tablet,4462,East,2022-12-07
49,Laptop,1652,South,2021-06-22
50,Tablet,1035,South,2021-05-18
51,Laptop,1791,North,2020-08-26
52,Tablet,3908,South,2022-06-06
53,Monitor,578,South,2020-09-10
54,Monitor,2877,East,2020-02-02
55,Tablet,806,South,2020-06-30
56,Headphones,2547,North,2020-06-30
57,Tablet,4745,North,2020-10-23
58,Laptop,932,West,2020-06-13
59,Phone,3869,East,2020-09-06
60,Phone,4870,West,2020-08-31
61,Monitor,1596,South,2021-09-06
